link,title
https://dragalialost.com/en/news/detail/697,"Dragalia Life #152, Now Available!"
https://dragalialost.com/en/news/detail/715,Astral Raids Are Starting Soon!
https://dragalialost.com/en/news/detail/732,"A New Challenge Event, The Mercurial Gauntlet, is Here![Update]"
https://dragalialost.com/en/news/detail/714,Astral Raids Are Here!
https://dragalialost.com/en/news/detail/729,Announcing the Next Summon Showcase: Dragon Special!
https://dragalialost.com/en/news/detail/746,"Issue Regarding High Zodiark's Trial, Temporary Unavailability"
https://dragalialost.com/en/news/detail/698,"Dragalia Life #153, Now Available!"
https://dragalialost.com/en/news/detail/730,Summon Showcase: Dragon Special Is Now Live!
https://dragalialost.com/en/news/detail/733,First-Anniversary Countdown Bonus Is Live!
https://dragalialost.com/en/news/detail/738,Maintenance Notice for 9/26 (PT)
https://dragalialost.com/en/news/detail/740,Astral Raids Are Starting Soon!
https://dragalialost.com/en/news/detail/716,Astral Raids Are Here!
https://dragalialost.com/en/news/detail/751,First Anniversary Events Are Live![Update]
https://dragalialost.com/en/news/detail/759,Daily Free Tenfold Summons Are Here! Summon Up to 100 Times During the Event!
https://dragalialost.com/en/news/detail/779,Issue Regarding Stamina Display of 30-Day Pack (Recovery) [Update]
https://dragalialost.com/en/news/detail/762,"A New Raid Event, Fractured Futures, Is Now Live!"
https://dragalialost.com/en/news/detail/764,Regarding Slowdowns for Certain Devices in the Fractured Futures Raid Event
https://dragalialost.com/en/news/detail/10019,Event Information
